po_id,order_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_country,category,item,business_unit,unit_price,quantity,line_total,payment_terms,on_contract,quality_rejected
PO-2023-00365,2023-01-09,2023-01-22,2023-01-22,SUP-024,Sterling Components,USA,Electronics,Power Supply Unit 450W,R&D,64.36,179,11520.44,Net 30,True,False
PO-2023-00341,2023-01-10,2023-02-08,2023-02-08,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Manufacturing,4.57,4135,18896.95,Net 30,True,False
PO-2023-00318,2023-01-10,2023-02-12,2023-02-12,SUP-032,Lotus Components,India,Electronics,PCB Assembly A-11,R&D,44.9,832,37356.8,Net 45,True,False
PO-2023-00315,2023-01-10,2023-01-25,2023-01-25,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,Field Services,49.13,644,31639.72,Net 45,True,False
PO-2023-00281,2023-01-10,2023-02-07,2023-02-07,SUP-024,Sterling Components,USA,Electronics,Microcontroller MCU-9,Retail Operations,7.41,3363,24919.83,Net 60,True,False
PO-2023-00272,2023-01-11,2023-01-18,2023-01-18,SUP-022,Redwood Components,USA,Electronics,Sensor Module SM-3,R&D,21.82,538,11739.16,Net 45,True,False
PO-2023-00275,2023-01-12,2023-01-23,2023-02-15,SUP-029,Great Wall Components,China,Electronics,Sensor Module SM-3,Corporate,27.62,456,12594.72,Net 30,True,True
PO-2023-00274,2023-01-13,2023-01-22,2023-01-22,SUP-024,Sterling Components,USA,Electronics,Power Supply Unit 450W,R&D,63.39,252,15974.28,Net 30,False,False
PO-2023-00360,2023-01-13,2023-02-11,2023-02-11,SUP-026,Great Wall Circuits,China,Electronics,Connector Kit CK-8,Retail Operations,4.64,2314,10736.96,Net 60,True,False
PO-2023-00329,2023-01-13,2023-01-27,2023-01-27,SUP-028,Summit Components,USA,Electronics,Sensor Module SM-3,Retail Operations,22.27,237,5277.99,Net 45,True,False
PO-2023-00344,2023-01-13,2023-01-26,2023-01-26,SUP-034,Pacific Rim Circuits,China,Electronics,Microcontroller MCU-9,Corporate,7.36,1592,11717.12,Net 60,True,False
PO-2023-00373,2023-01-13,2023-02-05,2023-02-07,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,Corporate,19.7,497,9790.9,Net 15,True,False
PO-2023-00366,2023-01-14,2023-02-11,2023-02-11,SUP-036,Golden Dragon Components,China,Electronics,PCB Assembly A-11,Retail Operations,52.04,311,16184.44,Net 45,True,False
PO-2023-00285,2023-01-15,2023-02-07,2023-02-07,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,Retail Operations,19.3,496,9572.8,Net 30,True,False
PO-2023-00334,2023-01-15,2023-01-28,2023-01-28,SUP-025,Cascade Semitech,USA,Electronics,Power Supply Unit 450W,R&D,68.42,191,13068.22,Net 45,True,False
PO-2023-00299,2023-01-15,2023-01-25,2023-01-25,SUP-036,Golden Dragon Components,China,Electronics,PCB Assembly A-11,Manufacturing,51.54,314,16183.56,Net 30,True,False
PO-2023-00312,2023-01-15,2023-01-28,2023-01-30,SUP-033,Busan Components,South Korea,Electronics,Power Supply Unit 450W,Corporate,55.84,116,6477.44,Net 30,True,False
PO-2023-00363,2023-01-15,2023-01-25,2023-01-28,SUP-028,Summit Components,USA,Electronics,Sensor Module SM-3,Corporate,23.76,551,13091.76,Net 30,True,False
PO-2023-00290,2023-01-15,2023-01-29,2023-01-29,SUP-025,Cascade Semitech,USA,Electronics,Microcontroller MCU-9,Retail Operations,7.47,2042,15253.74,Net 30,True,False
PO-2023-00310,2023-01-16,2023-01-22,2023-01-22,SUP-034,Pacific Rim Circuits,China,Electronics,Power Supply Unit 450W,Corporate,58.06,208,12076.48,Net 45,True,False
PO-2023-00321,2023-01-16,2023-02-17,2023-02-17,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Field Services,50.21,305,15314.05,Net 45,False,False
PO-2023-00278,2023-01-16,2023-01-29,2023-01-31,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,Corporate,24.84,734,18232.56,Net 30,True,False
PO-2023-00277,2023-01-16,2023-01-23,2023-01-26,SUP-029,Great Wall Components,China,Electronics,Connector Kit CK-8,R&D,4.07,3272,13317.04,Net 30,False,False
PO-2023-00370,2023-01-16,2023-02-13,2023-02-13,SUP-033,Busan Components,South Korea,Electronics,Power Supply Unit 450W,Manufacturing,56.65,142,8044.3,Net 30,True,False
PO-2023-00302,2023-01-16,2023-02-06,2023-02-06,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Manufacturing,3.68,3658,13461.44,Net 45,True,False
PO-2023-00368,2023-01-16,2023-02-15,2023-02-15,SUP-034,Pacific Rim Circuits,China,Electronics,Sensor Module SM-3,Manufacturing,21.89,453,9916.17,Net 30,True,False
PO-2023-00352,2023-01-17,2023-01-28,2023-01-28,SUP-036,Golden Dragon Components,China,Electronics,Microcontroller MCU-9,Retail Operations,7.91,3186,25201.26,Net 30,True,False
PO-2023-00332,2023-01-17,2023-02-09,2023-02-09,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Corporate,59.14,131,7747.34,Net 30,True,False
PO-2023-00317,2023-01-17,2023-01-23,2023-01-23,SUP-022,Redwood Components,USA,Electronics,PCB Assembly A-11,Retail Operations,47.94,461,22100.34,Net 45,True,False
PO-2023-00340,2023-01-17,2023-02-18,2023-02-18,SUP-034,Pacific Rim Circuits,China,Electronics,Microcontroller MCU-9,Manufacturing,6.49,2305,14959.45,Net 15,True,False
PO-2023-00305,2023-01-18,2023-02-16,2023-03-05,SUP-029,Great Wall Components,China,Electronics,Sensor Module SM-3,Retail Operations,26.83,535,14354.05,Net 30,False,True
PO-2023-00364,2023-01-18,2023-01-29,2023-01-29,SUP-032,Lotus Components,India,Electronics,Microcontroller MCU-9,Retail Operations,6.45,2352,15170.4,Net 30,True,False
PO-2023-00369,2023-01-20,2023-02-14,2023-02-14,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Manufacturing,3.52,3548,12488.96,Net 45,True,False
PO-2023-00374,2023-01-20,2023-02-12,2023-02-12,SUP-026,Great Wall Circuits,China,Electronics,Microcontroller MCU-9,Corporate,7.89,4949,39047.61,Net 45,True,False
PO-2023-00271,2023-01-20,2023-02-18,2023-02-18,SUP-029,Great Wall Components,China,Electronics,Microcontroller MCU-9,Corporate,6.52,102,665.04,Net 30,True,True
PO-2023-00307,2023-01-20,2023-02-15,2023-02-15,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Corporate,52.78,712,37579.36,Net 45,True,False
PO-2023-00343,2023-01-20,2023-02-17,2023-02-17,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,Field Services,23.13,877,20285.01,Net 60,True,False
PO-2023-00351,2023-01-21,2023-02-17,2023-02-18,SUP-025,Cascade Semitech,USA,Electronics,Connector Kit CK-8,Retail Operations,4.0,2821,11284.0,Net 30,True,False
PO-2023-00292,2023-01-21,2023-02-15,2023-02-15,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Manufacturing,54.6,482,26317.2,Net 30,True,False
PO-2023-00362,2023-01-21,2023-02-12,2023-02-12,SUP-025,Cascade Semitech,USA,Electronics,Connector Kit CK-8,Field Services,4.17,4435,18493.95,Net 30,True,False
PO-2023-00279,2023-01-21,2023-01-31,2023-01-31,SUP-022,Redwood Components,USA,Electronics,Microcontroller MCU-9,Manufacturing,7.62,3217,24513.54,Net 60,True,False
PO-2023-00367,2023-01-21,2023-02-19,2023-03-10,SUP-029,Great Wall Components,China,Electronics,Connector Kit CK-8,Field Services,4.44,5757,25561.08,Net 30,True,True
PO-2023-00379,2023-01-21,2023-02-09,2023-02-10,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,R&D,53.9,100,5390.0,Net 30,True,False
PO-2023-00330,2023-01-22,2023-02-08,2023-02-08,SUP-024,Sterling Components,USA,Electronics,Power Supply Unit 450W,Corporate,57.61,124,7143.64,Net 60,True,False
PO-2023-00383,2023-01-23,2023-02-21,2023-02-21,SUP-034,Pacific Rim Circuits,China,Electronics,PCB Assembly A-11,R&D,47.41,365,17304.65,Net 60,True,False
PO-2023-00338,2023-01-23,2023-02-13,2023-02-13,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,R&D,50.29,202,10158.58,Net 30,True,False
PO-2023-00382,2023-01-23,2023-02-12,2023-02-12,SUP-032,Lotus Components,India,Electronics,PCB Assembly A-11,Field Services,44.91,32,1437.12,Net 30,False,False
PO-2023-00296,2023-01-23,2023-02-16,2023-02-16,SUP-036,Golden Dragon Components,China,Electronics,Sensor Module SM-3,Corporate,24.96,459,11456.64,Net 30,True,False
PO-2023-00284,2023-01-23,2023-02-16,2023-02-16,SUP-036,Golden Dragon Components,China,Electronics,Sensor Module SM-3,Corporate,25.42,702,17844.84,Net 45,True,False
PO-2023-00295,2023-01-24,2023-02-09,2023-02-09,SUP-025,Cascade Semitech,USA,Electronics,Power Supply Unit 450W,R&D,65.04,178,11577.12,Net 15,True,False
PO-2023-00346,2023-01-24,2023-01-29,2023-01-29,SUP-036,Golden Dragon Components,China,Electronics,Power Supply Unit 450W,Corporate,64.46,66,4254.36,Net 45,True,False
PO-2023-00345,2023-01-24,2023-02-24,2023-02-24,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,Manufacturing,50.84,357,18149.88,Net 15,True,False
PO-2023-00273,2023-01-24,2023-02-26,2023-02-26,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,R&D,22.15,758,16789.7,Net 30,True,False
PO-2023-00356,2023-01-24,2023-01-31,2023-02-01,SUP-032,Lotus Components,India,Electronics,Power Supply Unit 450W,Retail Operations,60.13,77,4630.01,Net 30,True,False
PO-2023-00357,2023-01-25,2023-02-15,2023-02-15,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,R&D,49.95,490,24475.5,Net 60,True,False
PO-2023-00361,2023-01-25,2023-02-22,2023-02-24,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,R&D,3.43,1366,4685.38,Net 45,True,False
PO-2023-00286,2023-01-25,2023-02-12,2023-02-12,SUP-032,Lotus Components,India,Electronics,PCB Assembly A-11,Retail Operations,44.94,269,12088.86,Net 30,True,False
PO-2023-00301,2023-01-25,2023-02-07,2023-02-07,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Retail Operations,4.16,4117,17126.72,Net 15,True,False
PO-2023-00327,2023-01-26,2023-02-16,2023-02-16,SUP-032,Lotus Components,India,Electronics,Microcontroller MCU-9,Corporate,6.36,1967,12510.12,Net 30,True,False
PO-2023-00378,2023-01-26,2023-01-31,2023-01-31,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,Corporate,23.96,828,19838.88,Net 45,True,False
PO-2023-00320,2023-01-27,2023-02-28,2023-02-28,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Field Services,3.77,1313,4950.01,Net 45,True,False
PO-2023-00316,2023-01-27,2023-02-18,2023-02-18,SUP-033,Busan Components,South Korea,Electronics,Microcontroller MCU-9,Corporate,6.76,2144,14493.44,Net 60,True,False
PO-2023-00377,2023-01-27,2023-02-12,2023-02-12,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Retail Operations,61.9,198,12256.2,Net 45,True,False
PO-2023-00335,2023-01-27,2023-02-06,2023-02-06,SUP-034,Pacific Rim Circuits,China,Electronics,Connector Kit CK-8,Field Services,4.0,3105,12420.0,Net 45,True,False
PO-2023-00313,2023-01-28,2023-02-17,2023-02-17,SUP-036,Golden Dragon Components,China,Electronics,Power Supply Unit 450W,Retail Operations,70.12,124,8694.88,Net 60,True,False
PO-2023-00326,2023-01-28,2023-02-12,2023-02-12,SUP-035,Pacific Rim Semitech,China,Electronics,Microcontroller MCU-9,Corporate,7.11,2252,16011.72,Net 45,True,False
PO-2023-00342,2023-01-28,2023-02-15,2023-02-16,SUP-035,Pacific Rim Semitech,China,Electronics,Sensor Module SM-3,Retail Operations,22.17,650,14410.5,Net 60,True,False
PO-2023-00324,2023-01-28,2023-02-28,2023-02-28,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,Field Services,50.98,515,26254.7,Net 30,False,False
PO-2023-00376,2023-01-28,2023-02-17,2023-02-17,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,R&D,18.95,683,12942.85,Net 30,True,False
PO-2023-00359,2023-01-28,2023-02-24,2023-02-28,SUP-028,Summit Components,USA,Electronics,Microcontroller MCU-9,Field Services,7.75,2444,18941.0,Net 45,True,False
PO-2023-00353,2023-01-29,2023-03-02,2023-03-02,SUP-034,Pacific Rim Circuits,China,Electronics,Connector Kit CK-8,Corporate,4.15,3585,14877.75,Net 30,True,False
PO-2023-00355,2023-01-29,2023-02-20,2023-02-25,SUP-024,Sterling Components,USA,Electronics,Sensor Module SM-3,Field Services,23.77,520,12360.4,Net 30,True,False
PO-2023-00331,2023-01-29,2023-02-19,2023-02-19,SUP-025,Cascade Semitech,USA,Electronics,Power Supply Unit 450W,Corporate,65.1,237,15428.7,Net 60,False,False
PO-2023-00319,2023-01-30,2023-03-04,2023-03-04,SUP-033,Busan Components,South Korea,Electronics,Microcontroller MCU-9,Corporate,6.64,2347,15584.08,Net 45,False,False
PO-2023-00322,2023-01-31,2023-02-09,2023-02-09,SUP-033,Busan Components,South Korea,Electronics,Power Supply Unit 450W,R&D,54.3,137,7439.1,Net 30,True,False
PO-2023-00304,2023-01-31,2023-02-27,2023-02-27,SUP-025,Cascade Semitech,USA,Electronics,Microcontroller MCU-9,Manufacturing,7.0,2398,16786.0,Net 45,True,False
PO-2023-00333,2023-01-31,2023-02-22,2023-02-22,SUP-036,Golden Dragon Components,China,Electronics,Microcontroller MCU-9,Retail Operations,7.67,2399,18400.33,Net 45,True,False
PO-2023-00336,2023-01-31,2023-02-17,2023-02-17,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,R&D,52.53,353,18543.09,Net 45,False,False
PO-2023-00375,2023-01-31,2023-02-06,2023-02-06,SUP-024,Sterling Components,USA,Electronics,Microcontroller MCU-9,R&D,7.16,2344,16783.04,Net 15,True,False
PO-2023-01339,2023-02-01,2023-02-12,2023-02-12,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Corporate,3.69,2959,10918.71,Net 30,True,False
PO-2023-01235,2023-02-01,2023-02-28,2023-02-28,SUP-022,Redwood Components,USA,Electronics,Connector Kit CK-8,R&D,3.97,4670,18539.9,Net 30,True,False
PO-2023-01303,2023-02-01,2023-02-20,2023-02-20,SUP-022,Redwood Components,USA,Electronics,Connector Kit CK-8,Manufacturing,3.9,3946,15389.4,Net 45,True,False
PO-2023-01284,2023-02-01,2023-02-24,2023-02-24,SUP-035,Pacific Rim Semitech,China,Electronics,PCB Assembly A-11,Manufacturing,48.12,170,8180.4,Net 30,True,False
PO-2023-01237,2023-02-01,2023-02-26,2023-02-26,SUP-022,Redwood Components,USA,Electronics,PCB Assembly A-11,Manufacturing,47.52,386,18342.72,Net 45,True,False
PO-2023-01233,2023-02-01,2023-02-09,2023-02-09,SUP-024,Sterling Components,USA,Electronics,Microcontroller MCU-9,Corporate,7.09,2823,20015.07,Net 30,True,False
PO-2023-01218,2023-02-01,2023-02-21,2023-02-21,SUP-034,Pacific Rim Circuits,China,Electronics,Microcontroller MCU-9,Manufacturing,6.77,2295,15537.15,Net 15,True,False
PO-2023-01266,2023-02-02,2023-03-06,2023-03-06,SUP-036,Golden Dragon Components,China,Electronics,Microcontroller MCU-9,Retail Operations,8.12,4001,32488.12,Net 45,False,False
PO-2023-01286,2023-02-02,2023-03-05,2023-03-05,SUP-028,Summit Components,USA,Electronics,Connector Kit CK-8,Retail Operations,4.19,3073,12875.87,Net 45,True,False
PO-2023-01215,2023-02-02,2023-02-18,2023-02-20,SUP-029,Great Wall Components,China,Electronics,PCB Assembly A-11,Corporate,43.73,395,17273.35,Net 60,True,False
PO-2023-01321,2023-02-03,2023-03-04,2023-03-04,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Retail Operations,54.97,149,8190.53,Net 30,True,False
PO-2023-01265,2023-02-03,2023-02-21,2023-03-02,SUP-029,Great Wall Components,China,Electronics,Microcontroller MCU-9,R&D,8.93,1979,17672.47,Net 15,False,True
PO-2023-01240,2023-02-03,2023-02-23,2023-03-14,SUP-029,Great Wall Components,China,Electronics,Sensor Module SM-3,Field Services,19.74,425,8389.5,Net 45,True,False
PO-2023-01268,2023-02-04,2023-02-13,2023-02-13,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,Retail Operations,48.5,525,25462.5,Net 30,True,False
PO-2023-01302,2023-02-04,2023-02-20,2023-02-20,SUP-034,Pacific Rim Circuits,China,Electronics,Connector Kit CK-8,Corporate,4.3,4120,17716.0,Net 30,True,False
PO-2023-01319,2023-02-04,2023-02-23,2023-02-23,SUP-034,Pacific Rim Circuits,China,Electronics,Sensor Module SM-3,Field Services,22.68,446,10115.28,Net 60,False,False
PO-2023-01349,2023-02-04,2023-02-12,2023-02-12,SUP-032,Lotus Components,India,Electronics,Microcontroller MCU-9,Retail Operations,6.16,1185,7299.6,Net 45,True,False
PO-2023-01298,2023-02-05,2023-02-14,2023-02-14,SUP-025,Cascade Semitech,USA,Electronics,Connector Kit CK-8,R&D,4.07,3829,15584.03,Net 30,True,False
PO-2023-01223,2023-02-05,2023-03-01,2023-03-01,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Corporate,58.54,174,10185.96,Net 45,True,False
PO-2023-01253,2023-02-05,2023-03-07,2023-03-07,SUP-023,Schwarzwald Circuits,Germany,Electronics,Power Supply Unit 450W,R&D,57.74,143,8256.82,Net 15,True,False
PO-2023-01313,2023-02-06,2023-02-22,2023-02-23,SUP-033,Busan Components,South Korea,Electronics,Sensor Module SM-3,Manufacturing,21.88,1036,22667.68,Net 30,True,False
PO-2023-01260,2023-02-06,2023-02-20,2023-02-20,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,Manufacturing,20.84,904,18839.36,Net 30,True,False
PO-2023-01272,2023-02-06,2023-02-24,2023-02-25,SUP-022,Redwood Components,USA,Electronics,Sensor Module SM-3,Field Services,22.35,237,5296.95,Net 30,False,False
PO-2023-01234,2023-02-06,2023-02-28,2023-02-28,SUP-033,Busan Components,South Korea,Electronics,Connector Kit CK-8,Manufacturing,3.82,3896,14882.72,Net 45,True,False
PO-2023-01347,2023-02-06,2023-02-23,2023-02-23,SUP-033,Busan Components,South Korea,Electronics,Power Supply Unit 450W,Corporate,54.99,139,7643.61,Net 30,True,False
PO-2023-01346,2023-02-06,2023-03-11,2023-03-11,SUP-028,Summit Components,USA,Electronics,Sensor Module SM-3,Retail Operations,22.65,712,16126.8,Net 45,True,False
PO-2023-01331,2023-02-06,2023-02-20,2023-02-20,SUP-034,Pacific Rim Circuits,China,Electronics,Power Supply Unit 450W,R&D,59.44,193,11471.92,Net 30,True,False
PO-2023-01221,2023-02-06,2023-02-28,2023-02-28,SUP-025,Cascade Semitech,USA,Electronics,Power Supply Unit 450W,Field Services,66.54,127,8450.58,Net 30,True,False
PO-2023-01213,2023-02-07,2023-02-19,2023-02-19,SUP-034,Pacific Rim Circuits,China,Electronics,PCB Assembly A-11,Field Services,49.52,498,24660.96,Net 45,True,False
PO-2023-01248,2023-02-07,2023-03-02,2023-03-02,SUP-034,Pacific Rim Circuits,China,Electronics,PCB Assembly A-11,Field Services,51.23,391,20030.93,Net 30,False,False
PO-2023-01330,2023-02-07,2023-02-23,2023-02-23,SUP-024,Sterling Components,USA,Electronics,PCB Assembly A-11,Manufacturing,48.44,367,17777.48,Net 45,True,False
PO-2023-01350,2023-02-07,2023-03-12,2023-03-12,SUP-034,Pacific Rim Circuits,China,Electronics,Sensor Module SM-3,Field Services,23.56,623,14677.88,Net 45,True,False
PO-2023-01352,2023-02-07,2023-02-19,2023-02-19,SUP-028,Summit Components,USA,Electronics,Microcontroller MCU-9,Retail Operations,7.54,636,4795.44,Net 45,True,False
PO-2023-01329,2023-02-08,2023-03-04,2023-03-04,SUP-032,Lotus Components,India,Electronics,Power Supply Unit 450W,Retail Operations,53.58,192,10287.36,Net 45,True,False
PO-2023-01322,2023-02-08,2023-02-20,2023-02-20,SUP-028,Summit Components,USA,Electronics,Sensor Module SM-3,Retail Operations,24.62,194,4776.28,Net 45,True,False
PO-2023-01219,2023-02-08,2023-03-14,2023-03-14,SUP-034,Pacific Rim Circuits,China,Electronics,Sensor Module SM-3,Manufacturing,21.58,827,17846.66,Net 45,True,False
PO-2023-01274,2023-02-08,2023-03-11,2023-03-11,SUP-033,Busan Components,South Korea,Electronics,PCB Assembly A-11,Manufacturing,41.93,308,12914.44,Net 30,True,False
PO-2023-01289,2023-02-08,2023-03-07,2023-03-07,SUP-028,Summit Components,USA,Electronics,Power Supply Unit 450W,Manufacturing,63.95,102,6522.9,Net 30,True,False
PO-2023-01312,2023-02-08,2023-03-02,2023-03-02,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Corporate,59.37,148,8786.76,Net 30,True,False
