field_name,type,meaning,example,字段组,必填级别,缺失处理,常见别名或表达,统一表达规则,校验与歧义边界,证据要求,purchase_orders中同名列,electronics中同名列,对应原始列,本次值来源分类,来源说明,责任方,适用范围,字典版本
order_multiple_units,integer/blank,订购步长，单位颗,100,包装,关键,未明确订购倍数时需确认；不默认1,Order Multiple; Increment; SPQ（需核对）; Full trays only,整盘限制结合units_per_pack；明确可任意整颗购买才可1,MOQ不等于步长；SPQ需核对语义；拼接证据要完整,订购限制+包装容量原文,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
moq_quantity,integer/blank,最小起订数量,20,MOQ,关键,缺失需确认；不采用需求或历史数量,MOQ; Min Order; Minimum Qty; minimum_order; order_minimum,"Ten trays提取10；分组明确的1,000 pieces提取1000",正整数；最低订单金额不同；No MOQ不直接填0,起订量及适用条件,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
moq_unit,enum/blank,MOQ的计量单位,tray,MOQ,关键,只有MOQ数字不足；单位需确认,MOQ UOM; Minimum Unit; minimum_qty内单位,pcs/pieces归一piece；trays归一tray,当前piece/tray；由C换算为颗；不能忽略单位,MOQ附近单位,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
shipping_fee_status,enum/blank,运费业务状态,FREE,费用,关键,无条款=MISSING；业务UNKNOWN；金额null,Freight; Shipping; Delivery Charge; freight_terms; logistics_charge,明确Free/No charge为FREE；已含须说明包含在哪笔金额中,五类状态见说明；不从空白推断免费,明确运费条款；全缺失不伪造引用,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
shipping_fee_amount,decimal string/blank,运费金额,500,费用,条件关键,UNKNOWN为null；INCLUDED未拆出金额也可null,Freight Amount; Shipping Cost; logistics_charge,FREE/明确不适用可0.00；已含金额不重复累加,非负；FREE配非零冲突；Freight collect未给金额仍未知,金额或明确免费条款,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
other_fees_status,enum/blank,其他费用业务状态,NOT_APPLICABLE,费用,关键,未提及不代表没有；必要费用未知需确认,Other Charges; Handling; Additional Fees; Surcharge,明确No other fees为NOT_APPLICABLE；已含需明确范围,沿用五类状态；当前单笔结构不能吞掉多项复杂收费,费用明细或覆盖明确的声明,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
other_fees_amount,decimal string/blank,当前模板的其他费用金额,0,费用,条件关键,UNKNOWN=null；明确不适用才可0.00,Handling Fee; Other Fees Amount; Surcharge Amount,金额与收费次数和适用范围一起记录,非负；每件/每批费用不同；复杂收费待确认,金额与收费范围,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
tax_mode,enum/blank,税费比较口径,NOT_APPLICABLE,费用,关键,真实报价未明确需确认；不能默认不计税,Tax; GST; VAT; Tax Basis; Tax Treatment,本演示明确不计税才为NOT_APPLICABLE,Excl.GST不等于不适用；含税/未税不能混比,已确认需求口径+报价适用条款,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
lead_time_days,integer/blank,相对交期天数,3,交期,条件关键,无明确可用到货日期时缺失需确认,Lead Time; Delivery; ETA; delivery_estimate; arrival_time,明确three calendar days可提取3；3-5天保留范围,非负；保留预计/约等限定；in stock不是到货承诺,完整交期原句,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
day_basis,enum/blank,日历天还是工作日,CALENDAR_DAYS,交期,条件关键,只写days不默认自然日,Calendar Days; Business Days; Working Days,CALENDAR_DAYS或BUSINESS_DAYS；保留原文,当前只自动算自然日；工作日需确认到货日期及依据,交期或全局时间条款,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
delivery_semantics,enum/blank,交期终点是到货还是发运,ARRIVAL,交期,条件关键,Delivery/Lead time列名不足以证明到货,Arrival; Arrives; Shipment; Dispatch; ETA,明确ARRIVAL或SHIPMENT；ETA需核对到达何处,发货日不能直接与到货截止比较；缺运输时长需确认,完整交付声明与地点,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
start_event,enum/blank,交期起算事件,ORDER_DATE,交期,条件关键,ARO/收款后等不明时需确认,After Order Date; ARO; Upon Payment; PO Receipt,明确下单日起才ORDER_DATE；其他事件保留原文,ARO不直接等于下单日；付款触发条件不能忽略,起算事件条款,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
payment_terms,string/blank,当前报价付款条件,Net 30,商务,可选,无付款约束且无价格/交期联动可空；有联动需确认,Payment; Terms of Payment; pay_terms; N30,明确N30/Net thirty可候选Net 30；保留其他条件,Net30不保证统一起算事件；预付/现金折扣需核对,付款原文与关联条款,是,是,payment_terms,同名字段但值重新合成,选中历史A=Net 60/B=Net 45/C=Net 60；当前Net 30另设；其他源行出现Net 30不代表本次复制,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
quote_date,date/blank,当前报价出具日期,2026/9/13,商务,条件关键,明确有效截止存在时可缺；相对有效期依赖时需确认,Quote Date; Issued On; Date Issued; offer_window,明确日期统一YYYY-MM-DD；有歧义不猜,Date可能是交货日；不以历史订单日期补齐,报价标题日期或期限原文,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
valid_until,date/blank,报价有效截止日期,2026/9/20,商务,关键,缺失需确认；不默认永久或7天,Valid Until; Expiry; Offer Expiry; good through,明确日期规范化；相对期限须规则明确后由C推导,新加坡当日结束；原文有时刻不可降精度；需检查过期,有效期原文及基准,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
